0,1,2,3
[MOD] unrup,0,"(1920, 272)","modify ""Status_rupture"" unruptured to unrupture"
[MOD] unrup,0,"(1920, 272)","modify ""Status_rupture"" unrup Re Treat to unrupture"
[MOD] VABA,225,"(1920, 272)","modify ""Aneu_location"" VABA to VABA"
[MOD] Double cathe (DC),94,"(1920, 272)","modify ""Adj_tech"" Double cathe (DC) to Double cathe"
[MOD] Triple cathe.,1,"(1920, 272)","modify ""Adj_tech"" Triple cathe. to Triple cathe"
[MOD] StentからDC,2,"(1920, 272)","modify ""Adj_tech"" StentからDC to Stent assist"
[MOD] DCからStent,1,"(1920, 272)","modify ""Adj_tech"" DCからStent to Stent assist"
[MOD] BATからStent,56,"(1920, 272)","modify ""Adj_tech"" BATからStent to Stent assist"
[MOD] DCからBAT,5,"(1920, 272)","modify ""Adj_tech"" DCからBAT to BAT"
[MOD] BATからDC,7,"(1920, 272)","modify ""Adj_tech"" BATからDC to Double cathe"
[MOD] DC→Stent→DC,0,"(1920, 272)","modify ""Adj_tech"" DC→Stent→DC to Stent assist"
[MOD] Rescue Stent,8,"(1920, 272)","modify ""Adj_tech"" Rescue Stent to Stent assist"
[MOD] SimpleからBAT,5,"(1920, 272)","modify ""Adj_tech"" SimpleからBAT to BAT"
[MOD] DC & Stent,0,"(1920, 272)","modify ""Adj_tech"" DC & Stent to Stent assist"
[MOD] StentからBAT,0,"(1920, 272)","modify ""Adj_tech"" StentからBAT to Stent assist"
[MOD] SimpleからDC,0,"(1920, 272)","modify ""Adj_tech"" SimpleからDC to Double cathe"
[MOD] DC & BAT,5,"(1920, 272)","modify ""Adj_tech"" DC & BAT to BAT"
[MOD] Stent内からBAT,31,"(1920, 272)","modify ""Adj_tech"" Stent内からBAT to Stent assist"
[MOD] SimpleからStent,4,"(1920, 272)","modify ""Adj_tech"" SimpleからStent to Stent assist"
[MOD] DC & BAT→Stent,0,"(1920, 272)","modify ""Adj_tech"" DC & BAT→Stent to Stent assist"
[MOD] BAT→DC→Stent,0,"(1920, 272)","modify ""Adj_tech"" BAT→DC→Stent to Stent assist"
[MOD] Y Stent+DC,0,"(1920, 272)","modify ""Adj_tech"" Y Stent+DC to Stent assist"
[MOD] 記載不可,0,"(1920, 272)","modify ""Adj_tech"" 記載不可 to Unknown"
[MOD] 記入不可,1,"(1920, 272)","modify ""Adj_tech"" 記入不可 to Unknown"
[FILLNA] bleb_data,0,"(1920, 272)","if ""bleb_data"" is Nan, fillna ""no"""
[GET] rupture,2,"(1918, 272)","del ""Status_ruptrue"" is rupture"
[DEL] adj_rupture,24,"(1894, 272)","del ""Is_adj_rupture"" not one"
[GET] no_retreat,67,"(1828, 272)","del ""Is_retreat"" not one"
[GET] no_complication,206,"(1657, 272)","if ""Complication"" is Nan_*_""KAKUNIN""_attempt, fillna ""none"""
[GET] aneu type == saccular,17,"(1652, 272)","del ""Aneu_type"" not saccular"
[GET] location,0,"(1652, 272)","del ""Aneu_location"" are not ICA,VA,BA,ACA,MCA"
[GET] num_of_treat_one,3,"(1652, 272)","del ""Num_adj"" not one"
[GET] Adj_tech,412,"(1311, 272)","If ""Adj_tech"" is not in ""Simple"",""Double cathe"",""Triple cathe"",""BAT"",""Stent assist"",""Unknown"", the cases are removed."
[DROPNA] coil_size1_missing,244,"(1307, 272)",df.shape is same coil_size1/length1
[DROPNA] coil_length1_missing,244,"(1307, 272)",df.shape is same coil_size1/length1
[DROP_COL],0,"(1307, 264)","Drop columns ""Status_rupture"", ""Aneu_type"", ""Aneu_location_support"", ""Is_retreat"", ""Num_adj"", ""Complication"",""Is_del_complication"", ""Is_adj_rupture"""
